date,value
2013-11-15,2299017.0
2013-11-22,2293601.0
2013-11-29,2290956.0
2013-12-06,2280794.0
2013-12-13,2283020.0
2013-12-20,2287531.0
2013-12-27,2285399.0
2014-01-03,2278560.0
2014-01-10,2220507.0
2014-01-17,2197860.0
2014-01-24,2221296.0
2014-01-31,2217061.0
2014-02-07,2190338.0
2014-02-14,2190099.0
2014-02-21,2184848.0
2014-02-28,2181079.0
2014-03-07,2172324.0
2014-03-14,2167771.0
2014-03-21,2166080.0
2014-03-28,2152103.0
2014-04-04,2160987.0
2014-04-11,2169081.0
2014-04-18,2167801.0
2014-04-25,2169061.0
2014-05-02,2217128.0
2014-05-09,2167718.0
2014-05-16,2185009.0
2014-05-23,2163727.0
2014-05-30,2197095.0
2014-06-06,2172316.0
2014-06-13,2124281.0
2014-06-20,2079975.0
2014-06-27,2088099.0
2014-07-04,2070293.0
2014-07-11,2057083.0
2014-07-18,2062474.0
2014-07-25,2044312.0
2014-08-01,2059683.0
2014-08-08,2025258.0
2014-08-15,2023176.0
2014-08-22,2013019.0
2014-08-29,2038716.0
2014-09-05,2012130.0
2014-09-12,2003802.0
2014-09-19,1988153.0
2014-09-26,2038235.0
2014-10-03,2053668.0
2014-10-10,2042685.0
2014-10-17,2029725.0
2014-10-24,2032783.0
2014-10-31,2052070.0
2014-11-07,2029737.0
2014-11-14,2028156.0
2014-11-21,2033165.0
2014-11-28,2053892.0
2014-12-05,2038091.0
2014-12-12,2034746.0
2014-12-19,2134802.0
2014-12-26,2150247.0
2015-01-02,2215995.0
2015-01-09,2168821.0
2015-01-16,2158222.0
2015-01-23,2159796.0
2015-01-30,2181954.0
2015-02-06,2150212.0
2015-02-13,2153125.0
2015-02-20,2167794.0
2015-02-27,2155836.0
2015-03-06,2134819.0
2015-03-13,2142116.0
2015-03-20,2157841.0
2015-03-27,2250801.0
2015-04-03,2334126.0
2015-04-10,2348963.0
2015-04-17,2344062.0
2015-04-24,2360790.0
2015-05-01,2372553.0
2015-05-08,2377854.0
2015-05-15,2388627.0
2015-05-22,2402553.0
2015-05-29,2416666.0
2015-06-05,2428326.0
2015-06-12,2442098.0
2015-06-19,2451947.0
2015-06-26,2539544.0
2015-07-03,2497003.0
2015-07-10,2508195.0
2015-07-17,2518972.0
2015-07-24,2525159.0
2015-07-31,2536592.0
2015-08-07,2536634.0
2015-08-14,2541947.0
2015-08-21,2549254.0
2015-08-28,2558780.0
2015-09-04,2568311.0
2015-09-11,2587280.0
2015-09-18,2602314.0
2015-09-25,2620631.0
2015-10-02,2626835.0
2015-10-09,2632300.0
2015-10-16,2640557.0
2015-10-23,2653233.0
2015-10-30,2664996.0
2015-11-06,2668903.0
2015-11-13,2682374.0
2015-11-20,2692443.0
2015-11-27,2706740.0
2015-12-04,2718650.0
2015-12-11,2731936.0
2015-12-18,2759255.0
2015-12-25,2767815.0
2016-01-01,2781145.0
2016-01-08,2766889.0
2016-01-15,2778265.0
2016-01-22,2794527.0
2016-01-29,2808331.0
2016-02-05,2811913.0
2016-02-12,2827603.0
2016-02-19,2837575.0
2016-02-26,2850299.0
2016-03-04,2859841.0
2016-03-11,2872321.0
2016-03-18,2886198.0
2016-03-25,2897696.0
2016-04-01,2941761.0
2016-04-08,2953136.0
2016-04-15,2966107.0
2016-04-22,2983183.0
2016-04-29,3000759.0
2016-05-06,3017789.0
2016-05-13,3032840.0
2016-05-20,3054101.0
2016-05-27,3067481.0
2016-06-03,3078612.0
2016-06-10,3093866.0
2016-06-17,3109588.0
2016-06-24,3131095.0
2016-07-01,3232618.0
2016-07-08,3237920.0
2016-07-15,3249177.0
2016-07-22,3265838.0
2016-07-29,3284309.0
2016-08-05,3286139.0
2016-08-12,3296568.0
2016-08-19,3313323.0
2016-08-26,3330487.0
2016-09-02,3341775.0
2016-09-09,3358742.0
2016-09-16,3372373.0
2016-09-23,3391402.0
2016-09-30,3438145.0
2016-10-07,3451426.0
2016-10-14,3469281.0
2016-10-21,3494929.0
2016-10-28,3507401.0
2016-11-04,3518455.0
2016-11-11,3534266.0
2016-11-18,3553353.0
2016-11-25,3566230.0
2016-12-02,3587380.0
2016-12-09,3609773.0
2016-12-16,3630732.0
2016-12-23,3685708.0
2016-12-30,3662901.0
2017-01-06,3672638.0
2017-01-13,3697302.0
2017-01-20,3719624.0
2017-01-27,3740766.0
2017-02-03,3749499.0
2017-02-10,3770942.0
2017-02-17,3787893.0
2017-02-24,3808242.0
2017-03-03,3820341.0
2017-03-10,3839855.0
2017-03-17,3856913.0
2017-03-24,3877037.0
2017-03-31,4100730.0
2017-04-07,4116353.0
2017-04-14,4129996.0
2017-04-21,4139398.0
2017-04-28,4148032.0
2017-05-05,4156826.0
2017-05-12,4170588.0
2017-05-19,4185693.0
2017-05-26,4195685.0
2017-06-02,4204543.0
2017-06-09,4218129.0
2017-06-16,4232941.0
2017-06-23,4246150.0
2017-06-30,4209510.0
2017-07-07,4214696.0
2017-07-14,4229286.0
2017-07-21,4235758.0
2017-07-28,4248280.0
2017-08-04,4246485.0
2017-08-11,4255955.0
2017-08-18,4265713.0
2017-08-25,4278881.0
2017-09-01,4283727.0
2017-09-08,4299776.0
2017-09-15,4308875.0
2017-09-22,4328211.0
2017-09-29,4318624.0
2017-10-06,4337684.0
2017-10-13,4371623.0
2017-10-20,4363408.0
2017-10-27,4371222.0
2017-11-03,4373200.0
2017-11-10,4387732.0
2017-11-17,4411864.0
2017-11-24,4427474.0
2017-12-01,4440791.0
2017-12-08,4456579.0
2017-12-15,4471856.0
2017-12-22,4487284.0
2017-12-29,4471563.0
2018-01-05,4466001.0
2018-01-12,4472739.0
2018-01-19,4484003.0
2018-01-26,4493058.0
2018-02-02,4491151.0
2018-02-09,4493672.0
2018-02-16,4504781.0
2018-02-23,4511540.0
2018-03-02,4519360.0
2018-03-09,4530083.0
2018-03-16,4532642.0
2018-03-23,4539072.0
2018-03-30,4529579.0
2018-04-06,4531497.0
2018-04-13,4548153.0
2018-04-20,4543973.0
2018-04-27,4554344.0
2018-05-04,4552564.0
2018-05-11,4562061.0
2018-05-18,4561577.0
2018-05-25,4562651.0
2018-06-01,4567744.0
2018-06-08,4577214.0
2018-06-15,4578465.0
2018-06-22,4585571.0
2018-06-29,4592518.0
2018-07-06,4591235.0
2018-07-13,4599857.0
2018-07-20,4605004.0
2018-07-27,4612006.0
2018-08-03,4602258.0
2018-08-10,4608108.0
2018-08-17,4614032.0
2018-08-24,4619437.0
2018-08-31,4621355.0
2018-09-07,4633963.0
2018-09-14,4638843.0
2018-09-21,4645821.0
2018-09-28,4619792.0
2018-10-05,4625045.0
2018-10-12,4632893.0
2018-10-19,4628278.0
2018-10-26,4624792.0
2018-11-02,4622163.0
2018-11-09,4626222.0
2018-11-16,4638303.0
2018-11-23,4646891.0
2018-11-30,4660299.0
2018-12-07,4662985.0
2018-12-14,4668116.0
2018-12-21,4674919.0
2018-12-28,4669003.0
2019-01-04,4694301.0
2019-01-11,4703402.0
2019-01-18,4705948.0
2019-01-25,4708899.0
2019-02-01,4695505.0
2019-02-08,4696466.0
2019-02-15,4702787.0
2019-02-22,4692062.0
2019-03-01,4686299.0
2019-03-08,4691325.0
2019-03-15,4680588.0
2019-03-22,4676984.0
2019-03-29,4695785.0
2019-04-05,4699604.67061145
2019-04-12,4701826.0
2019-04-19,4707931.0
2019-04-26,4697616.0
2019-05-03,4683918.0
2019-05-10,4685377.0
2019-05-17,4684866.0
2019-05-24,4692616.0
2019-05-31,4685961.0
2019-06-07,4690441.0
2019-06-14,4681351.0
2019-06-21,4682680.0
2019-06-28,4692614.0
2019-07-05,4677463.0
2019-07-12,4684376.0
2019-07-19,4688182.0
2019-07-26,4685716.0
2019-08-02,4679180.0
2019-08-09,4677751.0
2019-08-16,4676077.0
2019-08-23,4681001.0
2019-08-30,4683714.0
2019-09-06,4681637.0
2019-09-13,4674603.0
2019-09-20,4662978.0
2019-09-27,4638104.0
2019-10-04,4695111.0
2019-10-11,4692260.0
2019-10-18,4687115.0
2019-10-25,4680875.0
2019-11-01,4676258.0
2019-11-08,4684135.0
2019-11-15,4691919.0
2019-11-22,4696531.0
2019-11-29,4698291.0
2019-12-06,4709281.0
2019-12-13,4713568.0
2019-12-20,4682592.0
2019-12-27,4691998.0
2020-01-03,4664037.0
2020-01-10,4655772.0
2020-01-17,4660340.0
2020-01-24,4674369.0
2020-01-31,4671365.0
