date,value
2014-03-01,0.4159
2014-04-01,0.422
2014-05-01,0.4233
2014-06-01,0.4251
2014-07-01,0.4283
2014-08-01,0.4228
2014-09-01,0.4319
2014-10-01,0.4308
2014-11-01,0.4325
2014-12-01,0.428
2015-01-01,0.4355
2015-02-01,0.4511
2015-03-01,0.4568
2015-04-01,0.4574
2015-05-01,0.462
2015-06-01,0.4566
2015-07-01,0.4549
2015-08-01,0.459
2015-09-01,0.4544
2015-10-01,0.4622
2015-11-01,0.4636
2015-12-01,0.4575
2016-01-01,0.4659
2016-02-01,0.4657
2016-03-01,0.4646
2016-04-01,0.4663
2016-05-01,0.4633
2016-06-01,0.4598
2016-07-01,0.4577
2016-08-01,0.2478
2016-09-01,0.213
2016-10-01,0.212
2016-11-01,0.2108
2016-12-01,0.2125
2017-01-01,0.2135
2017-02-01,0.2106
2017-03-01,0.2095
2017-04-01,0.2114
2017-05-01,0.2126
2017-06-01,0.2121
2017-07-01,0.2124
2017-08-01,0.2132
2017-09-01,0.2123
2017-10-01,0.211
2017-11-01,0.4493
2017-12-01,0.4619
2018-01-01,0.4631
2018-02-01,0.4634
2018-03-01,0.4637
2018-04-01,0.4617
2018-05-01,0.4529
2018-06-01,0.4507
2018-07-01,0.4545
2018-08-01,0.6911
2018-09-01,0.7012
2018-10-01,0.7011
2018-11-01,0.7017
2018-12-01,0.7026
2019-01-01,0.7053
2019-02-01,0.7061
2019-03-01,0.7053
2019-04-01,0.7081
2019-05-01,0.7094
2019-06-01,0.7085
2019-07-01,0.709
2019-08-01,0.7101
2019-09-01,0.7098
2019-10-01,0.7108
2019-11-01,0.7105
2019-12-01,0.7101
2020-01-01,0.7113
2020-02-01,0.7104
2020-03-01,0.3192
2020-04-01,0.0659
2020-05-01,0.0674
2020-06-01,0.0646
2020-07-01,0.0599
2020-08-01,0.0562
2020-09-01,0.0547
2020-10-01,0.0538
2020-11-01,0.0537
2020-12-01,0.0492
2021-01-01,0.0494
2021-02-01,0.0486
2021-03-01,0.0486
2021-04-01,0.0486
2021-05-01,0.0495
2021-06-01,0.0498
2021-07-01,0.0506
2021-08-01,0.0504
2021-09-01,0.05
2021-10-01,0.0502
2021-11-01,0.0468
2021-12-01,0.1141
2022-01-01,0.1958
2022-02-01,0.4199
2022-03-01,0.5623
2022-04-01,0.6906
2022-05-01,0.9158
2022-06-01,1.0767
2022-07-01,1.1908
2022-08-01,1.622
2022-09-01,1.8569
2022-10-01,2.1857
2022-11-01,2.8599
2022-12-01,3.1779
2023-01-01,3.4275
2023-02-01,3.9021
2023-03-01,4.0031
2023-04-01,4.1774
2023-05-01,4.3528
2023-06-01,4.5872
2023-07-01,4.9302
2023-08-01,5.1609
2023-09-01,5.1854
2023-10-01,5.1871
2023-11-01,5.1875
2023-12-01,5.187
2024-01-01,5.1875
2024-02-01,5.1883
2024-03-01,5.1891
2024-04-01,5.1979
2024-05-01,5.2
2024-06-01,5.2
2024-07-01,5.2
2024-08-01,4.95
2024-09-01,4.95
2024-10-01,4.95
2024-11-01,4.7476
2024-12-01,4.7
2025-01-01,4.7002
2025-02-01,4.4919
2025-03-01,4.4555
2025-04-01,4.4577
2025-05-01,4.2604
2025-06-01,4.2144
2025-07-01,4.2172
2025-08-01,4.0172
2025-09-01,3.9672
2025-10-01,3.9682
2025-11-01,3.9693
2025-12-01,3.8789
2026-01-01,3.725
2026-02-01,3.7274
2026-03-01,3.7289
2026-04-01,3.73
2026-05-01,3.7296
